@relation pizzarequests

@attribute PostEdited {0,1}
@attribute NumberOfUpVotes numeric
@attribute NumberofDownVotes numeric
@attribute CommentsOnRequest numeric
@attribute CommentsOnRetrieval numeric
@attribute WordScore numeric
@attribute TitleScore numeric
@attribute class {0,1}

@data

"1","6.0","2.0","2.0","12.0","19682","876","1"
"1","4.0","1.0","236.0","334.0","14640","1405","1"
"0","13.0","2.0","266.0","1000.0","10854","306","1"
"0","4.0","1.0","38.0","40.0","19388","2302","1"
"0","2.0","1.0","27.0","58.0","30058","1937","1"
"0","8.0","2.0","39.0","265.0","13365","1928","1"
"1","6.0","3.0","51.0","113.0","19915","1181","1"
"0","6.0","2.0","29.0","32.0","9930","1300","1"
"0","3.0","1.0","28.0","95.0","5352","230","1"
"1","4.0","1.0","0.0","18.0","580","1329","1"
"0","6.0","2.0","30.0","804.0","41604","3184","1"
"0","2.0","1.0","0.0","119.0","31667","2485","1"
"1","6.0","2.0","280.0","985.0","20701","910","1"
"0","3.0","1.0","60.0","71.0","1025","651","1"
"0","10.0","2.0","0.0","999.0","5365","982","1"
"0","5.0","4.0","0.0","1000.0","5772","345","1"
"0","2.0","1.0","540.0","1000.0","18989","247","1"
"0","18.0","4.0","1.0","6.0","27753","443","1"
"0","2.0","0.0","79.0","231.0","14754","1853","1"
"0","6.0","4.0","0.0","1.0","27118","719","1"
"0","4.0","0.0","103.0","755.0","22683","127","1"
"0","3.0","0.0","473.0","776.0","21515","279","1"
"0","4.0","3.0","127.0","287.0","5333","272","1"
"0","11.0","3.0","719.0","857.0","10682","777","1"
"0","6.0","1.0","14.0","15.0","9481","141","1"
"0","80.0","32.0","17.0","34.0","26486","198","1"
"0","7.0","0.0","0.0","1000.0","11121","49","1"
"0","7.0","1.0","0.0","7.0","10941","14","1"
"0","4.0","2.0","14.0","357.0","13601","1796","1"
"0","1.0","0.0","13.0","137.0","19440","574","1"
"0","3.0","0.0","123.0","208.0","16684","1604","1"
"0","4.0","4.0","0.0","7.0","13333","198","1"
"0","10.0","5.0","0.0","0.0","13642","21","1"
"0","9.0","1.0","0.0","996.0","15086","705","1"
"1","8.0","1.0","0.0","2.0","20455","930","1"
